sent_text,sent_number,v-avg-ann-scores,a-avg-ann-scores,d-avg-ann-scores,v-normalized-score,a-normalized-score,d-normalized-score
"אז רשות התחרות נכנסה לעניין וזה טוב, ובאמת השוק הזה מתהווה.",1,0.5,-0.708333333,0.333333333,0.75,0.145833333,0.666666667
"אני חושבת שאנחנו נביא הישג מרשים הודות לוועדה -- הצעת החוק סוף-סוף תביא לשקיפות, לשוויון, לביטול האפליה.",2,0.958333333,-0.208333333,0.833333333,0.979166667,0.395833333,0.916666667
"מאות עסקים שסובבים את המשלחות, הקבוצות, היציאה לעולם הגדול, תערוכות בעולם – אף אחד בממשלה לא מטפל בהם.",3,0.291666667,-0.541666667,-0.208333333,0.645833333,0.229166667,0.395833334
"מה שאנחנו רואים בימים האחרונים – השוטרים והמכת""זיות זה פירוטכניקה של אכיפה, זה סתם, זאת תעמולת בחירות זולה.",4,0.25,-0.5,-0.125,0.625,0.25,0.4375
"מסתבר שזה לא התחיל עכשיו, עכשיו אי-המשילות בולטת במלוא כיעורה.",5,-0.416666667,-0.041666667,-0.708333333,0.291666667,0.479166667,0.145833334
"ואנחנו פוגשים פה דור צעיר, שמזלזל בחוקים, בהנחיות – למה אנחנו מחנכים?",6,-0.083333333,0.083333333,-0.208333333,0.458333333,0.541666667,0.395833334
כולנו צריכים להבין שהתלמידים באמת במצוקה קשה.,7,-0.666666667,-0.041666667,-0.458333333,0.166666667,0.479166667,0.270833334
"כל הילדים, יש לי אחד שסיים י""ב בשנת קורונה, וכמו שאני אומרת, אצלי בבית לצערם יש דיקטטורה חינוכית -- צריך ללמוד גם כשקשה.",8,0.291666667,-0.583333333,0.291666667,0.645833333,0.208333333,0.645833334
"דבר אחד טוב שיצא מתוך המתווה שהעליתי זה תשלום ימי הבידוד, הצלחנו להרחיב את זה לארבעה ימים במקום יום אחד מינואר והלאה.",9,0.666666667,-0.625,0.541666667,0.833333333,0.1875,0.770833334
"עם זאת חשוב לומר שלנו כוועדה אין את הסמכות לשנות את התקנות כעת, ולכן זה לא יתבצע כעת, אבל כן אתן את הדעת על זה.",10,0.458333333,-0.666666667,0.291666667,0.729166667,0.166666667,0.645833334
"כמעט תמיד מגיעות אלי למשרד נשים אחרי שהתנכלו להן במקום העבודה ולא אחרי שהן הוטרדו, איכשהו הן סופגות את ההטרדה אבל ההתנכלות כבר קשה מנשוא.",11,-0.125,-0.083333333,-0.083333333,0.4375,0.458333333,0.458333334
"היום יש דווקא יותר נשים שמתלוננות כבר בעקבות ההטרדה, אבל עדיין רוב התלונות, נשים מנסות לסבול בשקט ושזה יעבור, ורק כאשר ממש זה בלתי נסבל, באות להתלונן.",12,-0.291666667,-0.375,0.041666667,0.354166667,0.3125,0.520833334
"אנחנו בשלטון המקומי מסכימים שמדובר פה בערך מוסרי וראוי שצריך להסדיר אותו. על זה אני לא אכביר מילים, כי נאמר ואין לי מה להוסיף. אנחנו תומכים ברעיון, הוא רעיון טוב ונכון.",13,0.333333333,-0.666666667,0.291666667,0.666666667,0.166666667,0.645833334
"בעצם אין כאן דיון, אנחנו כל הזמן מאוימים: או שתקבלו את הנוסח שלנו, או שלא תאשרו והמצב יישאר כפי שהוא. אין כאן דיון, איין כאן דיאלוג, אין כאן רצון לבוא ולתקן.",14,0,0.291666667,-0.583333333,0.5,0.645833333,0.208333334
"תבין, ושלוש שנים יש החלטת ממשלה להגיע להסכם, לייבא דרכם, אבל היא לא מתבצעת. למה? כדי שהמושחתים יחגגו.",15,0.083333333,0.375,-0.083333333,0.541666667,0.6875,0.458333334
"אדוני היושב-ראש, המשמעות של הדבר הזה היא מאוד מאד דרמטית.",16,0.125,0,-0.125,0.5625,0.5,0.4375
"אם בתחילת הגל הראשון נתפסנו לא מוכנים ברמה כלל מערכתית, עם הקמת פרויקט ״מגן אבות״והקמת מערך הדיגום, עברנו יחסית את הגל השני בתוצאות נפלאות.",17,0.666666667,-0.208333333,0.916666667,0.833333333,0.395833333,0.958333334
"אתה צועק את זה ואתה תולש את השערות, אבל כשמדינה דמוקרטית מתמודדת עם מגפה, יש לה חוקים שמגבילים את יכולת ההתמודדות.",18,-0.125,0.791666667,-0.541666667,0.4375,0.895833333,0.229166667
"אני רוצה לטעון, בתור בן אדם שמאוד בקיא בזה כי למדתי את זה לפני חמש דקות, שזה שנבחרו גורמים חדשים זה בדיוק מה שלא בסדר.",19,0.333333333,-0.25,0.333333333,0.666666667,0.375,0.666666667
"הרבה מאוד סירובים של בני משפחות של אנשים. ודיירים עצמם, זקנים עצמם, וצוותים יסרבו לעשות חיסונים בגלל חוסר הסברה והנגשת המידע.",20,-0.041666667,-0.791666667,-0.041666667,0.479166667,0.104166667,0.479166667
"ואנחנו גם שומעים על תהליך קבלת החלטות, שהוא מרתיח.",21,-0.041666667,0.541666667,-0.25,0.479166667,0.770833333,0.375
"כל החבר'ה שיושבים שם, הם בטראומה. הם נתקלו בנוראיות של המגפה בצורה הכי נוראית.",22,-0.75,0.083333333,-0.625,0.125,0.541666667,0.1875
יש פה איזשהו סוג של חוסר התנהלות או יכולת לנהל את האירוע. אבל יש את האמצעים.,23,0.333333333,-0.791666667,-0.125,0.666666667,0.104166667,0.4375
"ואני מבקש, דורש שמשרד הבריאות ימנה את ד""ר טריף בדר, את תת-אלוף טריף בדר, שהיום הוא ראש המנהלת להיערכות מערכת הבריאות לתחום החורף.",24,0.5,0.208333333,0.916666667,0.75,0.604166667,0.958333334
אנחנו נראה כישלונות. אנחנו נראה את המערך הזה לא עובד. ואנחנו נתקע את הציבור ואת המשק למשך חודשים ארוכים.,25,-0.125,-0.375,0,0.4375,0.3125,0.5
"בסופו של דבר, קורה איזשהו כשל, והכשל הזה מוביל להתפרצות של המחלה.",26,-0.041666667,-0.75,-0.333333333,0.479166667,0.125,0.333333334
"יש למשרד הבריאות ויש לאגף הגריאטריה, יש למוסדות, יכולות להתמודד עם הדברים. יש אנשים נפלאים שמנהלים את המוסדות האלה.",27,0.833333333,-0.333333333,0.625,0.916666667,0.333333333,0.8125
"אבל במשרד הזה מדובר באנשי מקצוע, אנשים שמבינים במה הם עוסקים, אנשים שעושים את העבודה שלהם.",28,0.416666667,-0.708333333,0.375,0.708333333,0.145833333,0.6875
"אני מודה לחברי הכנסת על הרצינות. אני מודה למנכ""לית, שהצטרפה אלינו לפני שבעה חודשים בכל הכוח ולקחה אותנו פה במסדרונות הפוליטיים ביעילות ומיומנות שלא נראו במשרד שלנו הרבה זמן.",29,0.625,-0.25,0.5,0.8125,0.375,0.75
"עמדה מולי אישה שדיברה בכאב גדול על האתגרים שיש גם למועצות אזוריות, למנהלי בתי ספר, למורים, אתגרים שהופכים להיות כמעט לבלתי אפשריים בגלל החלטות לא נכונות של מערכת החינוך.",30,-0.25,-0.125,-0.5,0.375,0.4375,0.25
"בעידן הקורונה צריך לשמוח שאנחנו בריאים, צריך לשמוח על שאפשר לתת מענה ואני חושב שזה מענה, בסיטואציה הקיימת, אופטימלי ונשתדל לעשות אותו הכי טוב שאפשר.",31,0.458333333,-0.166666667,0.291666667,0.729166667,0.416666667,0.645833334
אנחנו מתקשים לייצר מענים אמיתיים לילדים.,32,-0.25,-0.708333333,-0.416666667,0.375,0.145833333,0.291666667
לצערי הגדול אנחנו נתקלים במשרד חינוך שכל פעם שאנחנו יושבים על הסוגיות מהסוג הזה – ועכשיו דנו אתם המון במהלך תקופת הקורונה - הם נותנים תחושה שאין להם אמירה משלהם.,33,0.25,-0.25,-0.083333333,0.625,0.375,0.458333334
יש לנו תוכנית טובה ומקיפה למיגור הפשיעה והאלימות בחברה הערבית.,34,0.875,-0.5,0.541666667,0.9375,0.25,0.770833334
ההפסדים שמשק המדינה והכלכלה יספגו מגל שלישי של מגפת הקורונה עולים על כל העלות של תוכנית מיגור הפשיעה והאלימות במשך חמש שנים.,35,-0.083333333,-0.583333333,-0.25,0.458333333,0.208333333,0.375
זה עדיין משאיר אותנו עם כמה שאלות פתוחות כמה מהאסירים הערבים משולבים בתוכניות שיקום וכמה לא משולבים ומי שלא משולב למה הוא לא משולב.,36,0,-0.791666667,-0.333333333,0.5,0.104166667,0.333333334
"לגבי הנקודה השנייה, חשוב לי מאוד מאוד להדגיש אותה פה, גם בקונטקסט הטיפולי וגם בקונטקסט החינוכי. למיטב ידיעתי, וכפי שנורית אמרה, אין תוכניות טיפול ואין תוכניות חינוך.",37,-0.25,-0.083333333,0,0.375,0.458333333,0.5
"לצד הדיון הזה מתפתח דיון אחר שהוא יושב כמובן על בעיה חברתית מאוד מאוד מטרידה של אלימות בחברה הערבית והדיון הזה קורא הרבה פעמים להחמרה בענישה, לאפס סובלנות, להתמודדות שהיא ברובה יושבת על אינטרסים של הרתעה וגמול.",38,-0.25,-0.083333333,-0.125,0.375,0.458333333,0.4375
"החברה הערבית היום סובלת ממגפת הקורונה וסובלת ממגפת פשיעה ואלימות, אבל, לצערי אני אומר את זה, אם מתים אז עדיף למות מקורונה ולא למות ממעשה רצח או פשיעה שמפרקת את החברה הערבית.",39,-0.625,0.041666667,-0.25,0.1875,0.520833333,0.375
"אני מחזיק בידי, אדוני היושב-ראש, את ההכרזה לכל באי העולם בדבר זכויות האדם, שלשמה אנחנו מתכנסים היום. יש פה 30 סעיפים. אני עברתי על כולם, אחד-אחד, ואין שום סעיף שאינו מופר על-ידי מדינת ישראל; אין שום סעיף, מהראשון ועד האחרון, כולל המבוא.",40,-0.791666667,0.291666667,-0.25,0.104166667,0.645833333,0.375
"אני חושב שהטבח שהיה אתמול ממחיש לנו שוב מול מי אנחנו עומדים: מול מרצחים שפלים, שבשם אללה – ממש מזעזע – באים לטבוח ביהודים, שכל חטאם היה שהם באו להתפלל לאלוקים.",41,-0.916666667,0.875,-0.5,0.041666667,0.9375,0.25
"אוניברסיטת בן-גוריון נוסדה מתוך רוח חלוציות מיוחדת, במטרה לממש את הפוטנציאל של הפריפריה הדרומית. האוניברסיטה מושכת אליה את הסטודנטים המבריקים ביותר מהארץ ומהעולם.",42,0.833333333,-0.083333333,0.5,0.916666667,0.458333333,0.75
"אבל אני אומר לכם פה: אם מישהו חושב שממשלת ישראל תיתן את השלטר לוועדים הגדולים, להחזיק אותנו בני-ערובה נגד שינויים מבניים שיעשו טוב לכל עם ישראל, אתם לא מבינים עם מי יש עסק.",43,-0.125,0.125,-0.291666667,0.4375,0.5625,0.354166667
"סוף-סוף ההסתדרות, הוועדים החזקים מוכנים להתייצב לצדם של מיליון איש שלא מצליחים לסיים את החודש, שחיים בחרפת רעב – –",44,0.75,0.208333333,0.416666667,0.875,0.604166667,0.708333334
"המצב היה קשה מאוד, העשירים לא היו מספיק עשירים, העניים לא היו מספיק עניים, היו צריכים לעשות את הפער האדיר, שאנחנו עכשיו, אחרי 11 שנה, יכולים לראות איזה אסון חברתי זה גרם, כל קיצוצי קצבאות הילדים דאז. ",45,-0.625,0.416666667,-0.583333333,0.1875,0.708333333,0.208333334
"בושה הרבה יותר גדולה למדינה שעד היום הזה העוני רק העמיק, הקיצוצים רק העמיקו, והבזבוזים האדירים בתקציב המדינה, של מאות מיליארדים שמתחלקים בין המקורבים לצלחת, הרבה הרבה יותר גדולים.",46,-0.416666667,0.791666667,-0.291666667,0.291666667,0.895833333,0.354166667
"הסיפור שלה פצע את לבי, והזמנתי אותה לביתי. שמענו, ויחד עם הרב פרבר החלטנו לבנות מערכת תמיכה גם נפשית משפחתית וגם ללמוד יחד כדי לראות איך מעבירים אותה הלאה, ואיך מונעים אבדן של נפש שרוצה מאוד להצטרף לעם היהודי מבחירתה ועל-פי הבנתה.",47,0.166666667,0.416666667,0.541666667,0.583333333,0.708333333,0.770833334
"כשמגיעים הביתה במקום שהאנשים שמייצגים את התרבות שלנו יפתחו את הזרועות שלהם, יחבקו, יתמכו ויעזרו לעבור את השלב האחרון – הם סוגרים את הדלת בפנים. ",48,-0.083333333,0,-0.291666667,0.458333333,0.5,0.354166667
"לגבי הפחד והאימה שמדברים עליהם – אנחנו מנסים מאוד להוריד את החששות, להפיג אותם.",49,0.166666667,-0.333333333,0.166666667,0.583333333,0.333333333,0.583333334
בסוף מצאת את עצמך כלואה ברומא ולא יכולה לחזור לישראל.,50,0.375,-0.666666667,-0.583333333,0.6875,0.166666667,0.208333334
"אבל המערכת של מדינת ישראל לא אמורה לטפל רק באלה שיש להם האומץ ויכולים להילחם עד הסוף. הבניין הזה והממשלה צריכה לטפל באלה שאין להם הכוח להילחם עד הסוף, ואנחנו צריכים לעזור להם כי זה האינטרס שלנו, לא של כמה גיבורות, של סיירת מטכ""ל של הגיור.",51,0.375,-0.5,0.291666667,0.6875,0.25,0.645833334
"בעצם אישה שלומדת לימודי מדעים לומדת הנדסה, לומדת מתמטיקה, לומדת סטטיסטיקה, ומרבית הסיכויים שהתעסוקה שלה מובטחת אחרי התואר, הפרנסה שלה מובטחת אחרי התואר, למרות זאת היום הרבה מאוד נשים בוחרות ללמוד מקצועות שהם יותר נשיים.",52,0.458333333,-0.5,0.125,0.729166667,0.25,0.5625
"כשהראיתי לה את החוברת הזאת אתמול, היא באה, חבקה אותי ונישקה ואמרה לי: אבא, אני גאה בכם, אני רוצה להביא את זה לכל האולפנה.",53,0.666666667,0.291666667,0.208333333,0.833333333,0.645833333,0.604166667
"אני חייבת לציין שגם בכנסות האחרות והקודמות לנו היו שיתופי פעולה בין קואליציה לאופוזיציה והנושא של מעמד האישה חצה גבולות וחצה את האידיאולוגיות הפוליטיות, אבל בכנסת הזאת במיוחד, באמת בגלל הקונסטלציה הפוליטית המיוחדת שקיימת בתוך הקואליציה, אנחנו פורצות דרך.",54,0.916666667,0.208333333,0.833333333,0.958333333,0.604166667,0.916666667
לג'וליאנו מאוד היה חשוב להסביר בג'נין שאין מאבק בכיבוש בלי מאבק פמיניסטי.,55,0.125,-0.375,0.166666667,0.5625,0.3125,0.583333334
התגלתה תמונת מצב כואבת של קושי אמיתי בהשמה של עיוורים במקומות עבודה.,56,-0.166666667,-0.291666667,-0.541666667,0.416666667,0.354166667,0.229166667
"יחד עם זאת, גם מחירי הפירות עלו, אף שלא הייתה הצדקה לכך, ופשוט משווקי הפירות תפסו טרמפ על הסופה.",57,0.083333333,-0.583333333,-0.333333333,0.541666667,0.208333333,0.333333334
"זה מה שהם עושים – משתמשים בציניות, מקצועית כביכול, ובסופו של דבר המשפחה נקרעת פה לחתיכות. ",58,-0.416666667,0.166666667,-0.041666667,0.291666667,0.583333333,0.479166667
"אבל הפעם, ביום חמישי, נכנסו דחפורים וטרקטורים לבית-קברות, לא למקום אחר, מלווים בכוחות משטרה אדירים; הרסו את כל מה שבבית-הקברות, בהסתמך על צו בית-המשפט, שנהפך ונהיה בצורה ברורה אחד המנגנונים שעליהם מסתמכת המדינה בהריסת הבתים, והוא, בית-המשפט, שותף גלוי בהריסת הבתים.",59,-0.375,0.291666667,0.083333333,0.3125,0.645833333,0.541666667
"אנשי היס""מ הצטיידו במצלמות קטנות, וכמו אחוזי אמוק צילמו כל מפגין, גם השלו ביותר, מכל צדדיו – כולל אני – כאילו היה הפושע המבוקש ביותר.",60,0.25,0.166666667,0.208333333,0.625,0.583333333,0.604166667
